CustomerID,Lookalikes
C0001,"[('C0048', 0.9689354723039656), ('C0039', 0.9680143190885385), ('C0091', 0.8528878940937216)]"
C0002,"[('C0080', 0.8381176034341905), ('C0097', 0.7981596238665638), ('C0110', 0.7634066794785033)]"
C0003,"[('C0025', 0.9940350273054874), ('C0031', 0.9900211484290646), ('C0052', 0.9661108535046373)]"
C0004,"[('C0011', 0.9202064739813832), ('C0082', 0.916378518300323), ('C0006', 0.8568003829693739)]"
C0005,"[('C0007', 0.9999598488192616), ('C0115', 0.8295972699994365), ('C0045', 0.8256467131668704)]"
C0006,"[('C0011', 0.9898313490441027), ('C0032', 0.9803158040934148), ('C0071', 0.9269619592931247)]"
C0007,"[('C0005', 0.9999598488192616), ('C0115', 0.8345674828195973), ('C0045', 0.82657626409199)]"
C0008,"[('C0065', 0.968943311986635), ('C0059', 0.9582513006343291), ('C0024', 0.9439670484086531)]"
C0009,"[('C0010', 0.9916086348074148), ('C0061', 0.9673106836726313), ('C0062', 0.965939024872087)]"
C0010,"[('C0009', 0.9916086348074148), ('C0061', 0.9557437232317432), ('C0062', 0.9543131663704841)]"
C0011,"[('C0006', 0.9898313490441027), ('C0032', 0.9516890973162303), ('C0004', 0.9202064739813832)]"
C0012,"[('C0003', 0.9050503097760119), ('C0025', 0.8997778163108356), ('C0031', 0.8961818907143262)]"
C0013,"[('C0099', 0.8858151456825193), ('C0108', 0.8698073594696809), ('C0077', 0.7793920420814757)]"
C0014,"[('C0060', 0.9764200969891355), ('C0089', 0.9279038087854306), ('C0037', 0.8585419182032937)]"
C0015,"[('C0018', 0.9240793949258824), ('C0094', 0.8891163705727637), ('C0131', 0.818178700645259)]"
C0016,"[('C0026', 0.9880260061293457), ('C0035', 0.9841588768524239), ('C0055', 0.9784073183113743)]"
C0017,"[('C0041', 0.9871540966602903), ('C0019', 0.9663136604040637), ('C0057', 0.9489257595949607)]"
C0018,"[('C0047', 0.9488117693081831), ('C0015', 0.9240793949258824), ('C0094', 0.9045786065212045)]"
C0019,"[('C0041', 0.9830324476517353), ('C0057', 0.9803231344275176), ('C0017', 0.9663136604040637)]"
C0020,"[('C0050', 0.964182226644983), ('C0026', 0.9283419569312369), ('C0035', 0.9273020326102066)]"
